	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
RhASF-10_1_1	RhASF-10	1	1	114	1565	1	C	K16566	exopolysaccharide production protein ExoY								Bacterial sugar transferase [PF02397.21]					0
RhASF-10_1_2	RhASF-10	1	2	1627	2649	1	C	K01711	GDPmannose 4,6-dehydratase [EC:4.2.1.47]								GDP-mannose 4,6 dehydratase [PF16363.10]; NAD dependent epimerase/dehydratase family [PF01370.26]; RmlD substrate binding domain [PF04321.22]					0
RhASF-10_1_3	RhASF-10	1	3	2646	3641	1	C	K02377	GDP-L-fucose synthase [EC:1.1.1.271]								GDP-mannose 4,6 dehydratase [PF16363.10]; NAD dependent epimerase/dehydratase family [PF01370.26]; NmrA-like family [PF05368.18]; 3-beta hydroxysteroid dehydrogenase/isomerase family [PF01073.24]					0
RhASF-10_1_4	RhASF-10	1	4	3728	5038	1	C	K03208	putative colanic acid biosynthesis glycosyltransferase WcaI													0
RhASF-10_1_5	RhASF-10	1	5	5640	7790	1	D										Glycosyltransferase Family 4 [PF13439.11]; Glycosyl transferases group 1 [PF00534.25]; Glycosyl transferase 4-like domain [PF13579.11]					0
RhASF-10_1_6	RhASF-10	1	6	7794	8996	1	D										Polysaccharide biosynthesis protein [PF13440.11]					0
RhASF-10_1_7	RhASF-10	1	7	9030	10037	-1	E															0
RhASF-10_1_8	RhASF-10	1	8	10825	12087	-1	E															0
RhASF-10_1_9	RhASF-10	1	9	12094	12669	-1	E															0
RhASF-10_1_10	RhASF-10	1	10	12719	13726	1	E															0
