Protein	Annotation	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Succinate_1 Spectral Count	Succinate_2 Spectral Count	Succinate_3 Spectral Count	PELW_1 Spectral Count	PELW_2 Spectral Count	PELW_3 Spectral Count	Succinate_1 Unique Spectral Count	Succinate_2 Unique Spectral Count	Succinate_3 Unique Spectral Count	PELW_1 Unique Spectral Count	PELW_2 Unique Spectral Count	PELW_3 Unique Spectral Count	Succinate_1 Total Spectral Count	Succinate_2 Total Spectral Count	Succinate_3 Total Spectral Count	PELW_1 Total Spectral Count	PELW_2 Total Spectral Count	PELW_3 Total Spectral Count	Succinate_1 Intensity	Succinate_2 Intensity	Succinate_3 Intensity	PELW_1 Intensity	PELW_2 Intensity	PELW_3 Intensity	Succinate_1 MaxLFQ Intensity	Succinate_2 MaxLFQ Intensity	Succinate_3 MaxLFQ Intensity	PELW_1 MaxLFQ Intensity	PELW_2 MaxLFQ Intensity	PELW_3 MaxLFQ Intensity	Indistinguishable Proteins
RhASF-10_1_1	RhASF-10_1_1 rank: C; exopolysaccharide production protein ExoY (db=kegg)	RhASF-10_1_1 rank: C; exopolysaccharide production protein ExoY (db=kegg)		483			RhASF-10_1_1 rank: C; exopolysaccharide production protein ExoY (db=kegg)	1.0	0.999	14	117	108	117	17	10	9	24	26	31	16	9	8	22	25	28	17	10	9	24	26	31	211917.6	199949.56	194851.05	390518.47	384772.1	477095.7	33281.28	34823.902	34960.887	62890.664	57338.004	72391.25	
RhASF-10_1_10	RhASF-10_1_10 rank: E	RhASF-10_1_10 rank: E		335			RhASF-10_1_10 rank: E	1.0	0.999	2	47	47	47	14	8	9	4	6	6	14	8	9	4	6	6	14	8	9	4	6	6	61992.688	67074.27	68554.26	71263.516	78485.055	75806.58	36912.684	39856.34	40214.34	42222.18	40464.457	45639.17	
RhASF-10_1_1000	RhASF-10_1_1000 rank: C; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20] (db=kegg)	RhASF-10_1_1000 rank: C; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20] (db=kegg)		483			RhASF-10_1_1000 rank: C; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20] (db=kegg)	1.0	0.999	12	36	36	91	2	0	2	11	11	10	2	0	2	11	11	10	11	8	9	23	19	21	153430.11	12086.775	141488.69	95363.03	88464.67	90006.8	22842.533	23783.742	33445.453	51546.234	48135.15	48245.332	
RhASF-10_1_1001	RhASF-10_1_1001 rank: C; valine dehydrogenase (NAD+) [EC:1.4.1.23] (db=kegg)	RhASF-10_1_1001 rank: C; valine dehydrogenase (NAD+) [EC:1.4.1.23] (db=kegg)		369			RhASF-10_1_1001 rank: C; valine dehydrogenase (NAD+) [EC:1.4.1.23] (db=kegg)	1.0	0.999	6	19	19	19	7	6	6	0	0	0	7	6	6	0	0	0	7	6	6	0	0	0	71625.164	68491.734	76975.19	0.0	0.0	0.0	17882.842	17795.44	15075.057	0.0	0.0	0.0	
RhASF-10_1_1002	RhASF-10_1_1002 rank: D; Lrp/AsnC ligand binding domain [PF01037.26]; AsnC-type helix-turn-helix domain [PF13404.11] (db=pfam)	RhASF-10_1_1002 rank: D; Lrp/AsnC ligand binding domain [PF01037.26]; AsnC-type helix-turn-helix domain [PF13404.11] (db=pfam)		159			RhASF-10_1_1002 rank: D; Lrp/AsnC ligand binding domain [PF01037.26]; AsnC-type helix-turn-helix domain [PF13404.11] (db=pfam)	1.0	0.999	9	79	79	79	10	10	10	13	20	16	10	10	10	13	20	16	10	10	10	13	20	16	162228.1	173433.28	171896.98	679945.1	269826.84	547255.25	78073.23	84082.98	76840.65	120716.8	109976.08	108074.33	
RhASF-10_1_1003	RhASF-10_1_1003 rank: C; 2-oxoisovalerate dehydrogenase E1 component subunit alpha [EC:1.2.4.4] (db=kegg)	RhASF-10_1_1003 rank: C; 2-oxoisovalerate dehydrogenase E1 component subunit alpha [EC:1.2.4.4] (db=kegg)		360			RhASF-10_1_1003 rank: C; 2-oxoisovalerate dehydrogenase E1 component subunit alpha [EC:1.2.4.4] (db=kegg)	1.0	0.999	7	27	27	27	0	1	0	7	11	8	0	1	0	7	11	8	0	1	0	7	11	8	116650.63	4462.1875	4809.818	187476.14	130702.086	131535.36	53032.875	0.0	0.0	52700.355	41356.9	36604.387	
RhASF-10_1_1004	RhASF-10_1_1004 rank: C; 2-oxoisovalerate dehydrogenase E1 component subunit beta [EC:1.2.4.4] (db=kegg)	RhASF-10_1_1004 rank: C; 2-oxoisovalerate dehydrogenase E1 component subunit beta [EC:1.2.4.4] (db=kegg)		331			RhASF-10_1_1004 rank: C; 2-oxoisovalerate dehydrogenase E1 component subunit beta [EC:1.2.4.4] (db=kegg)	1.0	0.999	9	63	63	63	0	1	0	27	15	20	0	1	0	27	15	20	0	1	0	27	15	20	48547.56	39557.582	20846.137	369624.6	187585.62	228757.08	15174.227	15642.296	14403.298	78006.36	45372.152	56746.504	
RhASF-10_1_1005	RhASF-10_1_1005 rank: C; 2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase) [EC:2.3.1.168] (db=kegg)	RhASF-10_1_1005 rank: C; 2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase) [EC:2.3.1.168] (db=kegg)		429			RhASF-10_1_1005 rank: C; 2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase) [EC:2.3.1.168] (db=kegg)	1.0	0.999	13	80	80	80	0	1	0	27	27	25	0	1	0	27	27	25	0	1	0	27	27	25	20788.12	24257.236	23361.38	665515.4	457836.34	450360.12	9913.759	11758.888	10158.601	141009.69	84052.875	94094.34	
RhASF-10_1_1006	RhASF-10_1_1006 rank: C; 2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4] (db=kegg)	RhASF-10_1_1006 rank: C; 2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4] (db=kegg)		715			RhASF-10_1_1006 rank: C; 2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4] (db=kegg)	1.0	0.999	12	47	47	47	1	2	2	16	14	12	1	2	2	16	14	12	1	2	2	16	14	12	31730.34	47862.3	38476.07	191746.38	222101.78	147808.98	17120.14	17672.914	17185.188	39690.168	41005.016	38909.492	
RhASF-10_1_1008	RhASF-10_1_1008 rank: D; Bacterial regulatory proteins, tetR family [PF00440.28]; MftR C-terminal domain [PF17754.6] (db=pfam)	RhASF-10_1_1008 rank: D; Bacterial regulatory proteins, tetR family [PF00440.28]; MftR C-terminal domain [PF17754.6] (db=pfam)		215			RhASF-10_1_1008 rank: D; Bacterial regulatory proteins, tetR family [PF00440.28]; MftR C-terminal domain [PF17754.6] (db=pfam)	1.0	0.999	8	67	67	67	11	8	14	11	14	9	11	8	14	11	14	9	11	8	14	11	14	9	172695.19	157344.92	167613.66	119826.79	134923.6	109150.97	37268.414	33525.586	36409.453	26046.105	33702.79	24583.477	
